Reference_Year,WRRG,Type,Value
2001-2002,Barwon South West,landFill,72577.4
2002-2003,Barwon South West,landFill,54101.1201
2003-2004,Barwon South West,landFill,54746.1402
2004-2005,Barwon South West,landFill,58809.41
2005-2006,Barwon South West,landFill,65146.6499
2006-2007,Barwon South West,landFill,63341.9597
2007-2008,Barwon South West,landFill,59548.4997
2008-2009,Barwon South West,landFill,63312.2797
2009-2010,Barwon South West,landFill,65860.1899
2010-2011,Barwon South West,landFill,66712.49
2011-2012,Barwon South West,landFill,65505.02
2012-2013,Barwon South West,landFill,67553.3002
2013-2014,Barwon South West,landFill,70907.9599
2014-2015,Barwon South West,landFill,71944.12
2015-2016,Barwon South West,landFill,72331.6299
2016-2017,Barwon South West,landFill,75247.6
2017-2018,Barwon South West,landFill,77400.4102
2018-2019,Barwon South West,landFill,73478.8203
2001-2002,Gippsland,landFill,56883.2998
2002-2003,Gippsland,landFill,51017.5004
2003-2004,Gippsland,landFill,59109.1709
2004-2005,Gippsland,landFill,40688.6004
2005-2006,Gippsland,landFill,41099.54
2006-2007,Gippsland,landFill,42860.0796
2007-2008,Gippsland,landFill,42215.46
2008-2009,Gippsland,landFill,42610.5298
2009-2010,Gippsland,landFill,43691.627
2010-2011,Gippsland,landFill,45584.1899
2011-2012,Gippsland,landFill,46928.0796
2012-2013,Gippsland,landFill,44482.2002
2013-2014,Gippsland,landFill,48285.6797
2014-2015,Gippsland,landFill,49582.2798
2015-2016,Gippsland,landFill,50867.4199
2016-2017,Gippsland,landFill,52006.5903
2017-2018,Gippsland,landFill,48338.7701
2018-2019,Gippsland,landFill,46894.3203
2001-2002,Goulburn Valley,landFill,46602
2002-2003,Goulburn Valley,landFill,45569.7002
2003-2004,Goulburn Valley,landFill,45035.75
2004-2005,Goulburn Valley,landFill,41333
2005-2006,Goulburn Valley,landFill,46615
2006-2007,Goulburn Valley,landFill,36988
2007-2008,Goulburn Valley,landFill,34280.3501
2008-2009,Goulburn Valley,landFill,33893.28
2009-2010,Goulburn Valley,landFill,37478
2010-2011,Goulburn Valley,landFill,36913.2598
2011-2012,Goulburn Valley,landFill,39142.46
2012-2013,Goulburn Valley,landFill,37878
2013-2014,Goulburn Valley,landFill,38140.75
2014-2015,Goulburn Valley,landFill,39018.4502
2015-2016,Goulburn Valley,landFill,40670.0005
2016-2017,Goulburn Valley,landFill,38970.3799
2017-2018,Goulburn Valley,landFill,37733.5596
2018-2019,Goulburn Valley,landFill,37130.4503
2001-2002,Grampians Central West,landFill,44344.29
2002-2003,Grampians Central West,landFill,46770
