Reference_Year,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2001,Barwon South West ,72577.4,18709.9497,17931.0297,3085,865,94372.3497,18796.0297,NULL
2002,Barwon South West ,54101.1201,26580.1309,24945.7496,12798.2,9307.2,93479.451,34252.9496,NULL
2003,Barwon South West ,54746.1402,34007.1104,30418.8608,30591.8898,28961.0298,119345.1404,59379.8906,NULL
2004,Barwon South West ,58809.41,37187.7501,34054.3201,31362.19,31198.01,127359.3501,65252.3301,NULL
2005,Barwon South West ,65146.6499,38117.4805,34919.1102,31022.3895,30996.6695,134286.5199,65915.7797,NULL
2006,Barwon South West ,63341.9597,41435.3288,37701.2998,25228.6391,21142.1391,130005.9276,58843.4389,NULL
2007,Barwon South West ,59548.4997,44023.56,40116.3498,31596.2,30036.2,135168.2597,70152.5498,364090
2008,Barwon South West ,63312.2797,43474.3601,38898.75,28733,27633,135519.6398,66531.75,368762
2009,Barwon South West ,65860.1899,45139.87,41180.1301,37500.8,35978.8,148500.8599,77158.9301,286494
2010,Barwon South West ,66712.49,44851.2704,41156.6496,38317,36767,149880.7604,77923.6496,290670
2011,Barwon South West ,65505.02,45721.3399,42056.51,39754,38158,150980.3599,80214.51,299789
2012,Barwon South West ,67553.3002,44166.2395,43079.7894,37299.6001,37043.6001,149019.1398,80123.3895,304258
2013,Barwon South West ,70907.9599,43153.1506,40721.2795,41348.7199,41226.7199,155409.8304,81947.9994,308775
2014,Barwon South West ,71944.12,43801.2809,43017.9109,38426,38426,154171.4009,81443.9109,295993
2015,Barwon South West ,72331.6299,44042.9401,43743.7461,38366.7,38366.7,154741.27,82110.4461,300337
2016,Barwon South West ,75247.6,43927.58,43306.69,44620.84,44620.84,163796.02,87927.53,NULL
2017,Barwon South West ,77400.4102,44260.0802,40286.47,43588.6702,43585.6702,165249.1606,83872.1402,NULL
2018,Barwon South West ,73478.8203,44389.3306,40084.8506,48222.0701,48222.0701,166090.221,88306.9207,NULL
2001,Gippsland ,56883.2998,12494.4,11075.38,1523.35,1523.35,70901.0498,12598.73,NULL
2002,Gippsland ,51017.5004,13341.5692,11767.2321,1195.8,1195.8,65554.8696,12963.0321,NULL
2003,Gippsland ,59109.1709,15733.6399,13584.7301,1312.95,1312.95,76155.7608,14897.6801,NULL
2004,Gippsland ,40688.6004,21930.6701,17249.3701,11104,11104,73723.2705,28353.3701,NULL
2005,Gippsland ,41099.54,22916.17,18589.3499,11109,11109,75124.71,29698.3499,NULL
2006,Gippsland ,42860.0796,23015.9897,19559.89,10810,10810,76686.0693,30369.89,NULL
2007,Gippsland ,42215.46,23996.9699,20158.4999,15343,15343,81555.4299,35501.4999,253155
2008,Gippsland ,42610.5298,27329.6402,23046.2899,13848.55,13770,83788.72,36816.2899,256104
2009,Gippsland ,43691.627,29125.5398,24329.75,16273.9299,16273.9299,89091.0967,40603.6799,200174
2010,Gippsland ,45584.1899,28362.7899,24179.509,20181.48,20181.48,94128.4598,44360.989,203302
2011,Gippsland ,46928.0796,28125.21,24733.0704,17557.2505,17226.2505,92610.5401,41959.3209,211804
2012,Gippsland ,44482.2002,29346.1201,24862.17,17325.4199,17287.1658,91153.7402,42149.3358,214873
2013,Gippsland ,48285.6797,29250.5602,25307.4304,17962,17907,95498.2399,43214.4304,217891
2014,Gippsland ,49582.2798,25912.79,22856.3504,18302.73,18253.46,93797.7998,41109.8104,208220
2015,Gippsland ,50867.4199,25923.8696,24340.3098,18970,18922.54,95761.2895,43262.8498,209384
2016,Gippsland ,52006.5903,26857.9302,24743.3801,21363.6001,21309.5601,100228.1206,46052.9402,NULL
2017,Gippsland ,48338.7701,25902.9299,23806.1397,28269.1502,28269.1502,102510.8502,52075.2899,NULL
2018,Gippsland ,46894.3203,26467.8198,23285.8601,29202.8401,29202.8401,102564.9802,52488.7002,NULL
2001,Goulburn Valley ,46602,11021.6899,10557.4899,0,0,57623.6899,10557.4899,NULL
2002,Goulburn Valley ,45569.7002,10169.02,7420.46,0,0,55738.7202,7420.46,NULL
2003,Goulburn Valley ,45035.75,11529.28,9776.71,0,0,56565.03,9776.71,NULL
2004,Goulburn Valley ,41333,14243.7098,11009.7402,0,0,55576.7098,11009.7402,NULL
2005,Goulburn Valley ,46615,16800.2599,15273.56,318,318,63733.2599,15591.56,NULL
2006,Goulburn Valley ,36988,18615.6401,16542.21,4650,4610,60253.6401,21152.21,NULL
2007,Goulburn Valley ,34280.3501,19391.4099,17557.8298,5019,4971,58690.76,22528.8298,185259
2008,Goulburn Valley ,33893.28,19901.8799,18456.3801,5665,5593,59460.1599,24049.3801,187832
2009,Goulburn Valley ,37478,20155.9399,19428.3197,6481,6267,64114.9399,25695.3197,143597
2010,Goulburn Valley ,36913.2598,21672.1,21145.1,7383,7310,65968.3598,28455.1,146004
2011,Goulburn Valley ,39142.46,21630.3199,21601.3199,7035.5601,6874.7598,67808.34,28476.0797,148054
2012,Goulburn Valley ,37878,19939.9301,19939.9301,6817,6653,64634.9301,26592.9301,151149
2013,Goulburn Valley ,38140.75,21657.37,21657.37,9300,9140,69098.12,30797.37,154187
2014,Goulburn Valley ,39018.4502,22976.22,22976.22,9325.6001,9008.3999,71320.2703,31984.6199,146822
2015,Goulburn Valley ,40670.0005,20245.2398,20177.6398,13899.9004,13828.9004,74815.1407,34006.5402,147803
2016,Goulburn Valley ,38970.3799,20725.69,20024.0199,13917,13874,73613.0699,33898.0199,NULL
2017,Goulburn Valley ,37733.5596,19812.0802,17840.0903,12511.5898,12456.5898,70057.2296,30296.6801,NULL
2018,Goulburn Valley ,37130.4503,20606.2799,18169.3599,11837.4398,11831.4398,69574.17,30000.7997,NULL
2001,Grampians Central West ,44344.29,11671.662,10066.1499,1512,1512,57527.952,11578.1499,NULL
2002,Grampians Central West ,46770,11154.69,9999.75,2140,2140,60064.69,12139.75,NULL
2003,Grampians Central West ,45335.9599,11945.67,10909.7499,1090,1090,58371.6299,11999.7499,NULL
