Reference_Year,WRRG,Type,Value
2016-2017,North East,landFill,19209.28
2015-2016,North East,landFill,19403.7902
2017-2018,North East,landFill,19764.8203
2018-2019,North East,landFill,20204.5799
2003-2004,North East,landFill,23685.7998
2006-2007,North East,landFill,23812.9
2004-2005,North East,landFill,24464.52
2005-2006,North East,landFill,24549.52
2009-2010,North East,landFill,25734.51
2007-2008,North East,landFill,25755
2008-2009,North East,landFill,25819.95
2001-2002,North East,landFill,26866.5996
2011-2012,North East,landFill,26972.3403
2012-2013,North East,landFill,27249.9102
2014-2015,North East,landFill,27849.7498
2010-2011,North East,landFill,27904.0601
2002-2003,North East,landFill,28730.8999
2013-2014,North East,landFill,29628.1794
2008-2009,Goulburn Valley,landFill,33893.28
2007-2008,Goulburn Valley,landFill,34280.3501
2010-2011,Goulburn Valley,landFill,36913.2598
2006-2007,Goulburn Valley,landFill,36988
2018-2019,Goulburn Valley,landFill,37130.4503
2009-2010,Goulburn Valley,landFill,37478
2017-2018,Goulburn Valley,landFill,37733.5596
2012-2013,Goulburn Valley,landFill,37878
2013-2014,Goulburn Valley,landFill,38140.75
2016-2017,Goulburn Valley,landFill,38970.3799
2014-2015,Goulburn Valley,landFill,39018.4502
2011-2012,Goulburn Valley,landFill,39142.46
2015-2016,Goulburn Valley,landFill,40670.0005
2004-2005,Gippsland,landFill,40688.6004
2005-2006,Gippsland,landFill,41099.54
2004-2005,Goulburn Valley,landFill,41333
2007-2008,Gippsland,landFill,42215.46
2008-2009,Gippsland,landFill,42610.5298
2006-2007,Gippsland,landFill,42860.0796
2005-2006,Grampians Central West,landFill,43606.2298
2009-2010,Gippsland,landFill,43691.627
2006-2007,Grampians Central West,landFill,43782.5901
2001-2002,Grampians Central West,landFill,44344.29
2012-2013,Gippsland,landFill,44482.2002
2003-2004,Goulburn Valley,landFill,45035.75
2003-2004,Grampians Central West,landFill,45335.9599
2002-2003,Goulburn Valley,landFill,45569.7002
2010-2011,Gippsland,landFill,45584.1899
2008-2009,Grampians Central West,landFill,46043.32
2004-2005,Grampians Central West,landFill,46481.3
2001-2002,Goulburn Valley,landFill,46602
2005-2006,Goulburn Valley,landFill,46615
2007-2008,Grampians Central West,landFill,46661.9102
2002-2003,Grampians Central West,landFill,46770
2009-2010,Grampians Central West,landFill,46857.95
2018-2019,Gippsland,landFill,46894.3203
2011-2012,Gippsland,landFill,46928.0796
2013-2014,Gippsland,landFill,48285.6797
2017-2018,Gippsland,landFill,48338.7701
2014-2015,Gippsland,landFill,49582.2798
2010-2011,Grampians Central West,landFill,50203.1298
2015-2016,Gippsland,landFill,50867.4199
2002-2003,Gippsland,landFill,51017.5004
2016-2017,Gippsland,landFill,52006.5903
2017-2018,Grampians Central West,landFill,52442.4795
2007-2008,Loddon Mallee,landFill,52481.8742
2013-2014,Grampians Central West,landFill,52602.7301
2006-2007,Loddon Mallee,landFill,53463.5098
2012-2013,Grampians Central West,landFill,53637.4099
2016-2017,Grampians Central West,landFill,53731.01
2008-2009,Loddon Mallee,landFill,53920.3621
2015-2016,Grampians Central West,landFill,53961.8204
2002-2003,Barwon South West,landFill,54101.1201
2003-2004,Barwon South West,landFill,54746.1402
2009-2010,Loddon Mallee,landFill,54771.55
2011-2012,Grampians Central West,landFill,54784.42
2018-2019,Grampians Central West,landFill,54791.2098
2014-2015,Grampians Central West,landFill,55456.9604
2001-2002,Loddon Mallee,landFill,56278.4004
2004-2005,Loddon Mallee,landFill,56500.5303
2001-2002,Gippsland,landFill,56883.2998
2018-2019,Loddon Mallee,landFill,57132.5796
2011-2012,Loddon Mallee,landFill,57829.78
2012-2013,Loddon Mallee,landFill,58033.1204
2005-2006,Loddon Mallee,landFill,58344.2803
2004-2005,Barwon South West,landFill,58809.41
2017-2018,Loddon Mallee,landFill,59096.3399
2003-2004,Gippsland,landFill,59109.1709
2007-2008,Barwon South West,landFill,59548.4997
2013-2014,Loddon Mallee,landFill,59559.3199
2016-2017,Loddon Mallee,landFill,59729.8898
2014-2015,Loddon Mallee,landFill,59878.9801
2002-2003,Loddon Mallee,landFill,61029.4502
2015-2016,Loddon Mallee,landFill,62528.04
2008-2009,Barwon South West,landFill,63312.2797
2006-2007,Barwon South West,landFill,63341.9597
2003-2004,Loddon Mallee,landFill,63352.75
2005-2006,Barwon South West,landFill,65146.6499
2011-2012,Barwon South West,landFill,65505.02
2009-2010,Barwon South West,landFill,65860.1899
2010-2011,Loddon Mallee,landFill,66096.4569
2010-2011,Barwon South West,landFill,66712.49
2012-2013,Barwon South West,landFill,67553.3002
2013-2014,Barwon South West,landFill,70907.9599
2014-2015,Barwon South West,landFill,71944.12
2015-2016,Barwon South West,landFill,72331.6299
2001-2002,Barwon South West,landFill,72577.4
2018-2019,Barwon South West,landFill,73478.8203
2016-2017,Barwon South West,landFill,75247.6
2017-2018,Barwon South West,landFill,77400.4102
2006-2007,Metropolitan,landFill,735430.1817
2005-2006,Metropolitan,landFill,743882.4766
2007-2008,Metropolitan,landFill,752093.6993
2004-2005,Metropolitan,landFill,755427.3809
2008-2009,Metropolitan,landFill,759061.7144
