Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2001-2002,Alpine,North East ,2343,684.5,683,0,0,3027.5,683,
2001-2002,Ararat,Grampians Central West ,3434.24,615.2,587,0,0,4049.44,587,
2001-2002,Ballarat,Grampians Central West ,16000,6100,4840,1497,1497,23597,6337,
2001-2002,Banyule,Metropolitan ,19134,10872,10231,6517,6517,36523,16748,
2001-2002,Bass Coast,Gippsland ,5087,2490,2490,0,0,7577,2490,
2001-2002,Baw Baw,Gippsland ,8388,1406.9,1060.4,583.35,583.35,10378.25,1643.75,
2001-2002,Bayside,Metropolitan ,22180,8005,7748.7002,7800,7800,37985,15548.7002,
2001-2002,Boroondara,Metropolitan ,38107,16749,16023,9129,9129,63985,25152,
2001-2002,Brimbank,Metropolitan ,41550,9886,9886,2200,2200,53636,12086,
2001-2002,Buloke,Loddon Mallee ,1776,247,237,0,0,2023,237,
2001-2002,Campaspe,Goulburn Valley ,12788,1045,1045,0,0,13833,1045,
2001-2002,Cardinia,Metropolitan ,8600,4080,2937.6001,59,59,12739,2996.6001,
2001-2002,Casey,Metropolitan ,38533,14636,12552,7059.29,7059.29,60228.29,19611.29,
2001-2002,Central Goldfields,Grampians Central West ,2470,580,554,15,15,3065,569,
2001-2002,Colac-Otway,Barwon South West ,2800,1015.6,1015.6,930,315,4745.6,1330.6,
2001-2002,Corangamite,Barwon South West ,2160,636,456,700,480,3496,936,
2001-2002,Darebin,Metropolitan ,27180,10585,10270,5198,5198,42963,15468,
2001-2002,Delatite,North East ,5400,4224.2002,4097.5,0,0,9624.2002,4097.5,
2001-2002,East Gippsland,Gippsland ,8503.2998,2231,1775,0,0,10734.2998,1775,
2001-2002,Frankston,Metropolitan ,18495,8817,8442,0,0,27312,8442,
2001-2002,Gannawarra,Loddon Mallee ,2465,1200,1100,0,0,3665,1100,
2001-2002,Glen Eira,Metropolitan ,41249,7785,7696,2500,2182,51534,9878,
2001-2002,Glenelg,Barwon South West ,1571.4,780,495,0,0,2351.4,495,
2001-2002,Golden Plains,Grampians Central West ,3800,0,0,0,0,3800,0,
2001-2002,Greater Bendigo,Loddon Mallee ,26075,3552,3367,0,0,29627,3367,
2001-2002,Greater Dandenong,Metropolitan ,31822,11191,8447,382.44,382.44,43395.44,8829.44,
2001-2002,Greater Geelong,Barwon South West ,51426,11585.7197,11585.7197,0,0,63011.7197,11585.7197,
2001-2002,Greater Shepparton,Goulburn Valley ,16667,4043,4035,0,0,20710,4035,
2001-2002,Hepburn,Grampians Central West ,2730,562,560.9,0,0,3292,560.9,
2001-2002,Hindmarsh,Grampians Central West ,1017.6,807.9,599.9,0,0,1825.5,599.9,
2001-2002,Hobsons Bay,Metropolitan ,19822.8203,6496.8599,6293.0498,2269,2269,28588.6802,8562.0498,
2001-2002,Horsham,Grampians Central West ,5190.1001,640,593,0,0,5830.1001,593,
2001-2002,Hume,Metropolitan ,38382,6155.2998,6090.5,0,0,44537.2998,6090.5,
2001-2002,Indigo,North East ,2326,673.7,625,0,0,2999.7,625,
2001-2002,Kingston,Metropolitan ,27623,13111,12760,10667,10667,51401,23427,
