Reference_Year,LGA,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2007-2008,Alpine,North East ,2140,1594,1189,0,0,3734,1189,12764
2007-2008,Ararat,Grampians Central West ,1842,806,746,0,0,2648,746,11720
2007-2008,Ballarat,Grampians Central West ,17682,9484,7967,0,0,27166,7967,91365
2007-2008,Banyule,Metropolitan ,19131,15832,14382,8137,8137,43100,22519,120949
2007-2008,Bass Coast,Gippsland ,6035,3451,3000.8999,0,0,9486,3000.8999,29157
2007-2008,Baw Baw,Gippsland ,6162,3267.73,2763.1001,2350,2350,11779.73,5113.1001,39809
2007-2008,Bayside,Metropolitan ,19500,13374,12964,6881,6881,39755,19845,93290
2007-2008,Benalla,North East ,3268,1365.15,1195.5,0,0,4633.15,1195.5,14139
2007-2008,Boroondara,Metropolitan ,36857,24259.9004,21859.9004,13362,13362,74478.9004,35221.9004,165004
2007-2008,Brimbank,Metropolitan ,36622,17524,14843,6760.8101,6760.8101,60906.8101,21603.8101,177188
2007-2008,Buloke,Loddon Mallee ,1806.2939,790.2,728.3,0,0,2596.4939,728.3,7006
2007-2008,Campaspe,Goulburn Valley ,8168,3865.96,3499.26,450,430,12483.96,3929.26,38038
2007-2008,Cardinia,Metropolitan ,13100.7598,6152.6699,5377.73,2629.1001,2629.1001,21882.5298,8006.8301,65470
2007-2008,Casey,Metropolitan ,41530,30179,27674.1406,22500,22500,94209,50174.1406,239867
2007-2008,Central Goldfields,Grampians Central West ,2350,598.7,547,80,80,3028.7,627,12769
2007-2008,Colac-Otway,Barwon South West ,4000,2268.9099,2160.5901,1000,1000,7268.9099,3160.5901,21247
2007-2008,Corangamite,Barwon South West ,2408,760.74,707.44,700,700,3868.74,1407.44,17289
2007-2008,Darebin,Metropolitan ,25169,15617,13551,7930,7930,48716,21481,136229
2007-2008,East Gippsland,Gippsland ,7310.96,4300.75,3467.6599,4000,4000,15611.71,7467.6599,42635
2007-2008,Frankston,Metropolitan ,21080,17498.1992,15826.4004,7853,7853,46431.1992,23679.4004,125119
2007-2008,Gannawarra,Loddon Mallee ,2206,1915,1741,0,0,4121,1741,11623
2007-2008,Glen Eira,Metropolitan ,35396,14532,13805.4004,3413,3413,53341,17218.4004,131800
2007-2008,Glenelg,Barwon South West ,2512.6799,2031.46,1360.38,0,0,4544.1399,1360.38,20741
2007-2008,Golden Plains,Grampians Central West ,4560,1011.94,936.04,0,0,5571.94,936.04,17837
2007-2008,Greater Bendigo,Loddon Mallee ,25033,9476,8555,0,0,34509,8555,100473
2007-2008,Greater Dandenong,Metropolitan ,27150.0996,12146,10931.4004,12729.4004,12729.4004,52025.5,23660.8008,133135
2007-2008,Greater Geelong,Barwon South West ,35493,27888.4004,25794.0996,26277,26277,89658.4004,52071.0996,212032
2007-2008,Greater Shepparton,Goulburn Valley ,12071,7079.1499,6385.7998,4569,4541,23719.1499,10926.7998,60733
2007-2008,Hepburn,Grampians Central West ,1815,1548,1281.6,0,0,3363,1281.6,14517
2007-2008,Hindmarsh,Grampians Central West ,958.5,367,325,0,0,1325.5,325,6117
2007-2008,Hobsons Bay,Metropolitan ,18647.1602,10189.1797,9873.6104,3332.3,3332.3,32168.6399,13205.9104,86138
2007-2008,Horsham,Grampians Central West ,5022.1001,1331.53,1157.13,0,0,6353.6301,1157.13,19301
2007-2008,Hume,Metropolitan ,32157,16006,13666,2989,2989,51152,16655,163454
2007-2008,Indigo,North East ,2626,1149.1,1119.1,270.7,270.7,4045.8,1389.8,15702
2007-2008,Kingston,Metropolitan ,27526,17296.5,16137.5996,10804.9,10778.5,55627.4,26916.0996,142658
2007-2008,Knox,Metropolitan ,26381,18056,17220,13654,13654,58091,30874,153864
2007-2008,Latrobe,Gippsland ,12940,7593.73,6439.8301,8993,8993,29526.73,15432.8301,72435
2007-2008,Loddon,Loddon Mallee ,1375,732,678,0,0,2107,678,8044
2007-2008,Macedon Ranges,Loddon Mallee ,6230.2402,4222.2002,3800,0,0,10452.4404,3800,41107
2007-2008,Manningham,Metropolitan ,20962.0195,15160.1299,12220.9404,12958.7803,12958.7803,49080.9297,25179.7207,117108
2007-2008,Mansfield,North East ,2500,919.08,813.72,0,0,3419.08,813.72,7762
2007-2008,Maribyrnong,Metropolitan ,16885.4395,7347.0098,6027.77,142.5,142.5,24374.9493,6170.27,68425
2007-2008,Maroondah,Metropolitan ,18184,12876.5098,12232.6904,10661.5,10661.5,41722.0098,22894.1904,103887
2007-2008,Melbourne,Metropolitan ,20146,7136,6514.1001,29.64,29.6,27311.64,6543.7001,89795
2007-2008,Melton,Metropolitan ,16429,8241.1006,8066.5498,2956,2956,27626.1006,11022.5498,92668
2007-2008,Mildura,Loddon Mallee ,9036.0801,3937.002,2740.842,0,0,12973.0821,2740.842,52445
2007-2008,Mitchell,Goulburn Valley ,5367.3501,3174.3,2876.03,0,0,8541.6501,2876.03,34024
2007-2008,Moira,Goulburn Valley ,4318,2961.7,2663.8,0,0,7279.7,2663.8,28540
2007-2008,Monash,Metropolitan ,27135,18738.5801,16883.4609,17124,17124,62997.5801,34007.4609,172687
2007-2008,Moonee Valley,Metropolitan ,28832,13092,11560,8778,8778,50702,20338,107993
2007-2008,Moorabool,Grampians Central West ,4477,2522.1201,2403.72,0,0,6999.1201,2403.72,27216
2007-2008,Moreland,Metropolitan ,27677,16724.9609,13496.21,6366,6366,50767.9609,19862.21,145106
2007-2008,Mornington Peninsula,Metropolitan ,25000,22526,20274,224,224,47750,20498,144021
2007-2008,Mount Alexander,Loddon Mallee ,3101.26,1404.17,1333.97,0,0,4505.43,1333.97,18139
2007-2008,Moyne,Barwon South West ,1500,802.72,750,1560,0,3862.72,750,16200
2007-2008,Murrindindi,Goulburn Valley ,2450,1303,1225,0,0,3753,1225,14224
2007-2008,Nillumbik,Metropolitan ,5671.2402,8813,8108,5774,4908,20258.2402,13016,62642
2007-2008,Northern Grampians,Grampians Central West ,4103.3101,1871.52,1160.34,0,0,5974.8301,1160.34,12191
2007-2008,Port Phillip,Metropolitan ,19886,12200,11468,0,0,32086,11468,93349
2007-2008,Pyrenees,Grampians Central West ,880,395.88,273.8,0,0,1275.88,273.8,6904
2007-2008,Queenscliffe,Barwon South West ,1160,477.6,441.78,67.2,67.2,1704.8,508.98,3150
2007-2008,South Gippsland,Gippsland ,3612.5,1840.35,1693.12,0,0,5452.85,1693.12,26997
2007-2008,Southern Grampians,Barwon South West ,2076,941,886,0,0,3017,886,17246
2007-2008,Stonnington,Metropolitan ,23474,13065,12617,2236,2236,38775,14853,96996
2007-2008,Strathbogie,Goulburn Valley ,1906,1007.3,907.94,0,0,2913.3,907.94,9700
2007-2008,Surf Coast,Barwon South West ,4622,3799.9099,3514,1992,1992,10413.9099,5506,23966
2007-2008,Swan Hill,Loddon Mallee ,3694,2522.05,2236,0,0,6216.05,2236,21444
2007-2008,Towong,North East ,1206,485.1,430.6,75,75,1766.1,505.6,6255
2007-2008,Wangaratta,North East ,6450,3241.7,2831.8999,0,0,9691.7,2831.8999,27670
2007-2008,Warrnambool,Barwon South West ,5776.8198,5052.8198,4502.0601,0,0,10829.6396,4502.0601,32219
2007-2008,Wellington,Gippsland ,6155,3543.4099,2793.8899,0,0,9698.4099,2793.8899,42122
2007-2008,West Wimmera,Grampians Central West ,980,306,290,0,0,1286,290,4506
2007-2008,Whitehorse,Metropolitan ,28057,19890.2207,18219.4395,5305,5305,53252.2207,23524.4395,153217
2007-2008,Whittlesea,Metropolitan ,29572.9805,14089.4805,12379.7998,2084.46,2084.46,45746.921,14464.2598,140510
2007-2008,Wodonga,North East ,7565,2870.2,2540,1686,1686,12121.2,4226,35648
2007-2008,Wyndham,Metropolitan ,25507,14266.5,13838.5,2522,2522,42295.5,16360.5,133101
2007-2008,Yarra,Metropolitan ,12441,9604.21,9148.9697,63,63,22108.21,9211.9697,75528
2007-2008,Yarra Ranges,Metropolitan ,25987,17169.25,13550.2402,1948,1948,45104.25,15498.2402,146576
2007-2008,Yarriambiack,Grampians Central West ,1992,604.73,591.93,0,0,2596.73,591.93,7596
2008-2009,Alpine,North East ,2240.7,1597.9,1182.4,0,0,3838.6,1182.4,12865
2008-2009,Ararat,Grampians Central West ,2264.7,965.87,843.71,0,0,3230.57,843.71,11762
2008-2009,Ballarat,Grampians Central West ,17723,9800,9113,0,0,27523,9113,92894
2008-2009,Banyule,Metropolitan ,19086,15923,14562,8438,8438,43447,23000,121546
2008-2009,Bass Coast,Gippsland ,6233,3998,3198,0,0,10231,3198,29999
2008-2009,Baw Baw,Gippsland ,6492.5,3830.3201,3435.78,2500,2500,12822.8201,5935.78,40506
2008-2009,Bayside,Metropolitan ,19360,12663,12284,7326,7326,39349,19610,93771
2008-2009,Benalla,North East ,3352.3401,1466.22,1334.39,0,0,4818.5601,1334.39,14236
2008-2009,Boroondara,Metropolitan ,35722.6016,24772.4004,24184.0996,13816.5996,13816.5996,74311.6016,38000.6992,166104
2008-2009,Brimbank,Metropolitan ,36868.3398,17950,15222,6122,6122,60940.3398,21344,178139
2008-2009,Buloke,Loddon Mallee ,1806.452,778.36,718.7,0,0,2584.812,718.7,6973
2008-2009,Campaspe,Goulburn Valley ,8091,4119,3701,997,997,13207,4698,38370
2008-2009,Cardinia,Metropolitan ,13869.8604,6152.6699,5377.73,3068,3068,23090.5303,8445.73,70185
2008-2009,Casey,Metropolitan ,45873,28296,26052,22589,19329,96758,45381,250688
2008-2009,Central Goldfields,Grampians Central West ,2185,1021,969.9,100,100,3306,1069.9,12796
2008-2009,Colac-Otway,Barwon South West ,4279,2300,2178.8,938,938,7517,3116.8,21373
2008-2009,Corangamite,Barwon South West ,2098,1086.9,979.3,1400,1400,4584.9,2379.3,17358
2008-2009,Darebin,Metropolitan ,27205,16074.5596,13266.3301,6964.2998,4879,50243.8594,18145.3301,137180
2008-2009,East Gippsland,Gippsland ,6200.0498,5201,3879,3078.55,3000,14479.5998,6879,43312
2008-2009,Frankston,Metropolitan ,21516.5605,17178.1191,15503.7305,8719.9902,8719.9902,47414.6698,24223.7207,126916
2008-2009,Gannawarra,Loddon Mallee ,2320,1294,1177.54,0,0,3614,1177.54,11607
2008-2009,Glen Eira,Metropolitan ,34778,14206,13531,3954,3954,52938,17485,132449
2008-2009,Glenelg,Barwon South West ,2774.52,2132.9299,1473.34,0,0,4907.4499,1473.34,20860
2008-2009,Golden Plains,Grampians Central West ,4668,945.02,859,0,0,5613.02,859,18232
2008-2009,Greater Bendigo,Loddon Mallee ,25158,10002,9370,0,0,35160,9370,102428
2008-2009,Greater Dandenong,Metropolitan ,26981.4004,12597.9902,10529.1201,13097.5,11949.9004,52676.8906,22479.0205,134056
2008-2009,Greater Geelong,Barwon South West ,39500,27199,24479,23314,23314,90013,47793,215263
2008-2009,Greater Shepparton,Goulburn Valley ,12261,6837,6688.54,4668,4596,23766,11284.54,61548
2008-2009,Hepburn,Grampians Central West ,1823,1479.1,1319.1,0,0,3302.1,1319.1,14668
2008-2009,Hindmarsh,Grampians Central West ,1380,882.8,836.4,0,0,2262.8,836.4,6061
2008-2009,Hobsons Bay,Metropolitan ,17039.9805,10577.1504,10249.5703,4481,4481,32098.1309,14730.5703,86755
2008-2009,Horsham,Grampians Central West ,5005,1431.4,1152.74,0,0,6436.4,1152.74,19415
