Reference_Year,WRRG,landFill,recyclingTotal,recyclingProcessed,gardenTotal,gardenProcessed,wasteTotal,wasteProcessed,Estimated_Adult_Population
2007,Barwon South West ,59548.4997,44023.56,40116.3498,31596.2,30036.2,135168.2597,70152.5498,364090
2008,Barwon South West ,63312.2797,43474.3601,38898.75,28733,27633,135519.6398,66531.75,368762
2009,Barwon South West ,65860.1899,45139.87,41180.1301,37500.8,35978.8,148500.8599,77158.9301,286494
2010,Barwon South West ,66712.49,44851.2704,41156.6496,38317,36767,149880.7604,77923.6496,290670
2011,Barwon South West ,65505.02,45721.3399,42056.51,39754,38158,150980.3599,80214.51,299789
2012,Barwon South West ,67553.3002,44166.2395,43079.7894,37299.6001,37043.6001,149019.1398,80123.3895,304258
2013,Barwon South West ,70907.9599,43153.1506,40721.2795,41348.7199,41226.7199,155409.8304,81947.9994,308775
2014,Barwon South West ,71944.12,43801.2809,43017.9109,38426,38426,154171.4009,81443.9109,295993
2015,Barwon South West ,72331.6299,44042.9401,43743.7461,38366.7,38366.7,154741.27,82110.4461,300337
2007,Gippsland ,42215.46,23996.9699,20158.4999,15343,15343,81555.4299,35501.4999,253155
2008,Gippsland ,42610.5298,27329.6402,23046.2899,13848.55,13770,83788.72,36816.2899,256104
2009,Gippsland ,43691.627,29125.5398,24329.75,16273.9299,16273.9299,89091.0967,40603.6799,200174
2010,Gippsland ,45584.1899,28362.7899,24179.509,20181.48,20181.48,94128.4598,44360.989,203302
2011,Gippsland ,46928.0796,28125.21,24733.0704,17557.2505,17226.2505,92610.5401,41959.3209,211804
2012,Gippsland ,44482.2002,29346.1201,24862.17,17325.4199,17287.1658,91153.7402,42149.3358,214873
2013,Gippsland ,48285.6797,29250.5602,25307.4304,17962,17907,95498.2399,43214.4304,217891
2014,Gippsland ,49582.2798,25912.79,22856.3504,18302.73,18253.46,93797.7998,41109.8104,208220
2015,Gippsland ,50867.4199,25923.8696,24340.3098,18970,18922.54,95761.2895,43262.8498,209384
2007,Goulburn Valley ,34280.3501,19391.4099,17557.8298,5019,4971,58690.76,22528.8298,185259
2008,Goulburn Valley ,33893.28,19901.8799,18456.3801,5665,5593,59460.1599,24049.3801,187832
2009,Goulburn Valley ,37478,20155.9399,19428.3197,6481,6267,64114.9399,25695.3197,143597
2010,Goulburn Valley ,36913.2598,21672.1,21145.1,7383,7310,65968.3598,28455.1,146004
2011,Goulburn Valley ,39142.46,21630.3199,21601.3199,7035.5601,6874.7598,67808.34,28476.0797,148054
2012,Goulburn Valley ,37878,19939.9301,19939.9301,6817,6653,64634.9301,26592.9301,151149
2013,Goulburn Valley ,38140.75,21657.37,21657.37,9300,9140,69098.12,30797.37,154187
2014,Goulburn Valley ,39018.4502,22976.22,22976.22,9325.6001,9008.3999,71320.2703,31984.6199,146822
2015,Goulburn Valley ,40670.0005,20245.2398,20177.6398,13899.9004,13828.9004,74815.1407,34006.5402,147803
2007,Grampians Central West ,46661.9102,20847.4201,17679.56,80,80,67589.3303,17759.56,232039
2008,Grampians Central West ,46043.32,22004.122,20185.24,100,100,68147.442,20285.24,234760
2009,Grampians Central West ,46857.95,22291.6516,20290.0496,100,100,69249.6016,20390.0496,181687
2010,Grampians Central West ,50203.1298,25602.613,24227.91,270,270,76075.7428,24497.91,184188
2011,Grampians Central West ,54784.42,22384.4299,19603.6,1149.97,1149.97,78318.8199,20753.57,189930
2012,Grampians Central West ,53637.4099,22774.2001,20149.27,1055.28,1055.28,77466.89,21204.55,192741
2013,Grampians Central West ,52602.7301,23408.72,21030.7301,1200,1200,77211.4501,22230.7301,195539
2014,Grampians Central West ,55456.9604,23304.9397,21493.5545,372.41,372.41,79134.3101,21865.9645,191541
2015,Grampians Central West ,53961.8204,25473.3998,24348.3197,384,384,79819.2202,24732.3197,192329
2007,Loddon Mallee ,52481.8742,24998.6222,21813.112,0,0,77480.4964,21813.112,260281
