Reference_Year,Type,Value,Estimated_Adult_Population
2007,gardenProcessed,253717.8509,5292538
2008,gardenProcessed,255734.9598,5380570
2009,gardenProcessed,304936.0398,4250789
2010,gardenProcessed,374395.6204,4322156
2011,gardenProcessed,385323.3307,4456671
2012,gardenProcessed,357601.2067,4532258
2013,gardenProcessed,384467.2304,4606165
2014,gardenProcessed,380459.1402,4647819
2015,gardenProcessed,390945.0506,4730709
2007,gardenTotal,256218.2909,5292538
2008,gardenTotal,266593.9692,5380570
2009,gardenTotal,314925.0299,4250789
2010,gardenTotal,390390.2005,4322156
2011,gardenTotal,397113.5709,4456671
2012,gardenTotal,368950.9809,4532258
2013,gardenTotal,392691.1806,4606165
2014,gardenTotal,382211.5105,4647819
2015,gardenTotal,393727.3004,4730709
2007,landFill,1013036.794,5292538
2008,landFill,1024661.436,5380570
2009,landFill,1056517.224,4250789
2010,landFill,1099008.095,4322156
2011,landFill,1111308.969,4456671
2012,landFill,1102149.982,4532258
2013,landFill,1130982.581,4606165
2014,landFill,1158735.429,4647819
2015,landFill,1160317.211,4730709
2007,recyclingProcessed,542163.0244,5292538
2008,recyclingProcessed,554707.4006,5380570
2009,recyclingProcessed,565960.8197,4250789
2010,recyclingProcessed,570755.5005,4322156
2011,recyclingProcessed,575045.0995,4456671
2012,recyclingProcessed,564484.8919,4532258
2013,recyclingProcessed,554119.08,4606165
2014,recyclingProcessed,556164.1864,4647819
2015,recyclingProcessed,558972.1272,4730709
2007,recyclingTotal,604484.7136,5292538
2008,recyclingTotal,608138.7727,5380570
2009,recyclingTotal,613140.6822,4250789
2010,recyclingTotal,622222.5465,4322156
2011,recyclingTotal,618657.5734,4456671
2012,recyclingTotal,599118.9652,4532258
2013,recyclingTotal,594049.5014,4606165
2014,recyclingTotal,591670.2713,4647819
2015,recyclingTotal,590451.3714,4730709
2007,Wastage,64822.1292,5292538
2008,Wastage,64290.3815,5380570
2009,Wastage,57168.8526,4250789
2010,Wastage,67461.6261,4322156
2011,Wastage,55402.7141,4456671
2012,Wastage,45983.8475,4532258
2013,Wastage,48154.3716,4606165
2014,Wastage,37258.4552,4647819
2015,Wastage,34261.494,4730709
